Project_Type,Duration_Days,Hourly_Rate,Misc_Cost,Material_Cost,Developers,Designers,QA_Engineers,Labourers,Supervisors,Coordinators,Staff,Technicians,Creatives,Analysts,Scientists,Assistants,Total_Cost
Research,104,944,43757,90642,0,0,0,0,0,0,0,0,0,0,5,5,1113737.1215401534
Construction,92,444,43765,44816,0,0,0,19,13,0,0,0,0,0,0,0,1388874.0494222906
IT,41,333,41187,17239,7,2,3,0,0,0,0,0,0,0,0,0,224939.45904987602
Event,59,567,47944,83963,0,0,0,0,0,5,17,16,0,0,0,0,1390077.059951578
Research,94,877,31698,63682,0,0,0,0,0,0,0,0,0,0,7,6,1163798.5735808797
Marketing,47,605,13017,16941,0,0,0,0,0,0,0,0,15,19,0,0,995400.9658277772
IT,88,841,9854,62329,19,17,5,0,0,0,0,0,0,0,0,0,3110098.7112789797
Research,141,437,24856,97369,0,0,0,0,0,0,0,0,0,0,17,5,1477768.0043016307
Research,135,342,17015,55002,0,0,0,0,0,0,0,0,0,0,19,15,1643812.5966354278
IT,160,482,20183,81774,11,16,8,0,0,0,0,0,0,0,0,0,2803958.1285548536
IT,105,494,38434,79724,18,19,19,0,0,0,0,0,0,0,0,0,3018317.3587169526
Research,14,765,42545,46668,0,0,0,0,0,0,0,0,0,0,6,1,153453.7162007503
Construction,87,372,28321,20488,0,0,0,15,15,0,0,0,0,0,0,0,1022293.7062539575
Event,72,347,9432,74291,0,0,0,0,0,1,8,17,0,0,0,0,734197.6421288053
Construction,37,377,49247,26748,0,0,0,14,19,0,0,0,0,0,0,0,536490.1772992522
Event,120,662,43638,77067,0,0,0,0,0,13,18,6,0,0,0,0,3051952.768398712
IT,128,784,15267,11062,17,7,12,0,0,0,0,0,0,0,0,0,3640018.318179336
IT,154,824,49243,16168,4,10,3,0,0,0,0,0,0,0,0,0,2221152.473653235
Marketing,120,769,19369,22910,0,0,0,0,0,0,0,0,8,8,0,0,1529623.2114768666
IT,92,853,40240,70004,6,2,13,0,0,0,0,0,0,0,0,0,1760722.890794824
Research,159,576,6605,81158,0,0,0,0,0,0,0,0,0,0,16,4,1918471.7430588298
Event,71,649,18918,95655,0,0,0,0,0,9,3,19,0,0,0,0,1547009.4210223916
IT,103,803,18234,63441,15,11,8,0,0,0,0,0,0,0,0,0,2894507.020301427
Construction,53,944,11469,40105,0,0,0,4,19,0,0,0,0,0,0,0,1205512.9100347457
Marketing,56,300,44001,88477,0,0,0,0,0,0,0,0,6,5,0,0,313204.0793600485
Event,109,558,25128,69383,0,0,0,0,0,10,5,10,0,0,0,0,1612051.1566055182
Research,82,849,31614,46258,0,0,0,0,0,0,0,0,0,0,17,5,1613269.2554731767
Marketing,87,675,41298,80792,0,0,0,0,0,0,0,0,2,12,0,0,947580.5047587836
Marketing,73,648,13007,51832,0,0,0,0,0,0,0,0,5,14,0,0,962668.9617025217
Marketing,39,590,26204,25524,0,0,0,0,0,0,0,0,5,19,0,0,605416.8742844821
Marketing,98,341,23520,53303,0,0,0,0,0,0,0,0,8,7,0,0,588470.0039932271
Event,134,721,10984,97062,0,0,0,0,0,15,1,17,0,0,0,0,3295112.1066698493
Research,113,403,9018,21302,0,0,0,0,0,0,0,0,0,0,19,6,1172910.524878725
Event,144,478,29519,97487,0,0,0,0,0,15,15,1,0,0,0,0,2265627.610039798
Marketing,166,849,37184,76656,0,0,0,0,0,0,0,0,5,1,0,0,959854.274355764
Marketing,95,821,42380,53872,0,0,0,0,0,0,0,0,6,13,0,0,1576807.625323533
Research,145,560,19382,94291,0,0,0,0,0,0,0,0,0,0,12,13,2138779.1814210885
Construction,164,394,40442,49666,0,0,0,4,4,0,0,0,0,0,0,0,610626.4927412585
Marketing,20,553,19153,86325,0,0,0,0,0,0,0,0,6,8,0,0,268155.97210439487
Construction,55,662,7443,85993,0,0,0,13,8,0,0,0,0,0,0,0,870274.7598980841
Marketing,109,623,43727,10126,0,0,0,0,0,0,0,0,10,17,0,0,1887988.105909876
Marketing,40,677,25530,54327,0,0,0,0,0,0,0,0,9,11,0,0,616508.975898707
Research,99,921,24256,63173,0,0,0,0,0,0,0,0,0,0,19,8,2548633.065399502
Research,62,436,44224,23224,0,0,0,0,0,0,0,0,0,0,3,11,445568.6132312127
Event,171,646,41368,16783,0,0,0,0,0,11,12,19,0,0,0,0,4701760.086805414
IT,97,460,42148,14757,18,17,7,0,0,0,0,0,0,0,0,0,1930759.8204314045
Marketing,127,641,36195,31566,0,0,0,0,0,0,0,0,8,17,0,0,2105083.2412269185
IT,150,514,7482,34442,19,17,13,0,0,0,0,0,0,0,0,0,3825254.527633848
Event,27,889,43258,58302,0,0,0,0,0,18,2,17,0,0,0,0,987698.0884088171
Construction,175,943,17342,50806,0,0,0,3,10,0,0,0,0,0,0,0,2217639.1193881035
Marketing,96,354,45411,36399,0,0,0,0,0,0,0,0,18,7,0,0,924777.3049194512
Research,17,612,15998,65106,0,0,0,0,0,0,0,0,0,0,8,15,325209.9534517535
Marketing,17,717,12970,44911,0,0,0,0,0,0,0,0,14,14,0,0,400035.7921481718
Event,153,751,46124,96925,0,0,0,0,0,16,18,7,0,0,0,0,4860887.765510534
Research,156,923,41220,51874,0,0,0,0,0,0,0,0,0,0,4,18,3264679.5977926482
Construction,138,822,42609,25358,0,0,0,2,3,0,0,0,0,0,0,0,627363.8541323805
Research,46,555,12083,27771,0,0,0,0,0,0,0,0,0,0,17,10,732194.0497567282
Event,137,414,32856,12573,0,0,0,0,0,9,8,2,0,0,0,0,1116330.0728894714
Event,13,965,46401,86908,0,0,0,0,0,2,5,11,0,0,0,0,362835.3204701136
Construction,137,341,43243,67384,0,0,0,6,2,0,0,0,0,0,0,0,494390.87022819975
Construction,85,898,45809,26725,0,0,0,6,8,0,0,0,0,0,0,0,1144741.9578989653
Construction,21,754,32529,69052,0,0,0,17,14,0,0,0,0,0,0,0,590694.9345685159
Marketing,124,328,29063,82355,0,0,0,0,0,0,0,0,17,7,0,0,1088538.7918144814
Event,63,397,28150,78247,0,0,0,0,0,5,1,4,0,0,0,0,350347.2093712699
Marketing,90,806,43890,76017,0,0,0,0,0,0,0,0,9,2,0,0,918573.1338856467
Research,82,595,42904,64912,0,0,0,0,0,0,0,0,0,0,11,8,1027036.2384116167
Event,117,471,14650,95469,0,0,0,0,0,6,2,12,0,0,0,0,1210257.0931990833
Event,110,343,9090,16960,0,0,0,0,0,17,10,17,0,0,0,0,1687058.5050046663
Event,17,960,16344,11750,0,0,0,0,0,5,16,6,0,0,0,0,462057.27820644947
IT,98,567,16918,37935,10,16,7,0,0,0,0,0,0,0,0,0,1878768.5656349466
Research,16,436,16122,90559,0,0,0,0,0,0,0,0,0,0,8,18,286659.50467099977
Event,91,522,30510,29426,0,0,0,0,0,18,10,7,0,0,0,0,1722986.6038847049
Event,117,487,18409,92050,0,0,0,0,0,5,11,8,0,0,0,0,1475643.6235564747
Construction,117,338,33535,16640,0,0,0,4,13,0,0,0,0,0,0,0,726795.8251208544
Construction,117,749,13502,62393,0,0,0,2,13,0,0,0,0,0,0,0,1391805.161026976
Research,27,715,18919,79346,0,0,0,0,0,0,0,0,0,0,7,14,509785.8547529573
Research,71,544,17984,43039,0,0,0,0,0,0,0,0,0,0,12,15,1100453.8410493494
IT,19,658,17676,20816,17,3,13,0,0,0,0,0,0,0,0,0,444335.7474448286
Marketing,155,592,45600,67775,0,0,0,0,0,0,0,0,1,14,0,0,1485181.740267579
IT,152,643,14155,53001,5,5,11,0,0,0,0,0,0,0,0,0,2120982.0289254277
Event,71,525,29262,90435,0,0,0,0,0,4,8,19,0,0,0,0,1275473.5326137766
Research,119,629,45042,71665,0,0,0,0,0,0,0,0,0,0,9,17,2065409.3642649339
IT,18,398,23297,40448,10,3,18,0,0,0,0,0,0,0,0,0,291799.90981275536
Construction,71,444,29578,38831,0,0,0,3,6,0,0,0,0,0,0,0,359016.3739316786
IT,82,879,39701,93300,2,11,9,0,0,0,0,0,0,0,0,0,1722134.9287260054
Event,132,840,22602,98801,0,0,0,0,0,12,10,9,0,0,0,0,3561216.673312434
Event,133,337,19663,31754,0,0,0,0,0,5,16,18,0,0,0,0,1798432.4352583135
Research,69,987,8020,51755,0,0,0,0,0,0,0,0,0,0,5,13,1285546.8855196363
Research,124,997,6591,21303,0,0,0,0,0,0,0,0,0,0,2,8,1270115.9663672405
Event,42,561,25695,17314,0,0,0,0,0,16,8,1,0,0,0,0,630727.8123391927
Research,116,856,37088,36292,0,0,0,0,0,0,0,0,0,0,10,4,1462180.8197080635
Event,175,999,27534,73620,0,0,0,0,0,11,13,19,0,0,0,0,7615919.504378057
Construction,109,557,31588,43062,0,0,0,2,13,0,0,0,0,0,0,0,988539.4552296839
Event,122,532,39832,41966,0,0,0,0,0,2,13,3,0,0,0,0,1248115.3071516738
Construction,72,711,38339,36660,0,0,0,4,4,0,0,0,0,0,0,0,481182.8421647687
Construction,77,491,19859,73888,0,0,0,10,1,0,0,0,0,0,0,0,506691.25955739326
Event,134,759,26510,67372,0,0,0,0,0,11,1,6,0,0,0,0,1934144.022942294
Event,67,837,16745,36029,0,0,0,0,0,2,4,17,0,0,0,0,1349084.2986708216
Event,125,429,18261,62307,0,0,0,0,0,11,3,17,0,0,0,0,1743481.3993486331
Marketing,101,320,44214,91871,0,0,0,0,0,0,0,0,5,6,0,0,489886.5582603111
Event,10,869,49923,29982,0,0,0,0,0,2,3,17,0,0,0,0,278831.0473826315
IT,33,823,31385,48158,12,16,8,0,0,0,0,0,0,0,0,0,1055172.3994037572
Research,62,819,13782,92970,0,0,0,0,0,0,0,0,0,0,14,18,1729239.133685076
Marketing,140,648,22343,48827,0,0,0,0,0,0,0,0,3,14,0,0,1621600.5637477383
Marketing,18,977,14208,15109,0,0,0,0,0,0,0,0,2,8,0,0,212682.1942000223
Event,73,371,31589,40015,0,0,0,0,0,18,14,15,0,0,0,0,1336585.4858825714
Research,42,401,35087,59930,0,0,0,0,0,0,0,0,0,0,19,9,570395.0732807214
IT,85,345,43559,84319,1,10,8,0,0,0,0,0,0,0,0,0,680671.4066601291
Research,167,888,48201,91061,0,0,0,0,0,0,0,0,0,0,7,14,3253666.3011658397
Construction,152,405,14078,35003,0,0,0,17,8,0,0,0,0,0,0,0,1595077.77718293
IT,15,372,31015,43320,18,12,8,0,0,0,0,0,0,0,0,0,290998.1684145639
Construction,101,617,30683,23629,0,0,0,15,7,0,0,0,0,0,0,0,1428543.046404635
Construction,31,709,38662,66446,0,0,0,9,10,0,0,0,0,0,0,0,532591.7213686411
Event,21,386,49555,11560,0,0,0,0,0,13,19,19,0,0,0,0,477135.1774401775
Event,53,893,15181,26082,0,0,0,0,0,5,9,3,0,0,0,0,842987.4999803071
Marketing,44,744,44004,26309,0,0,0,0,0,0,0,0,15,1,0,0,592405.8863633942
Research,168,323,13595,57908,0,0,0,0,0,0,0,0,0,0,4,12,941485.7733829686
Marketing,161,861,20282,14703,0,0,0,0,0,0,0,0,9,4,0,0,1836643.7454259705
Marketing,75,634,31017,86707,0,0,0,0,0,0,0,0,6,7,0,0,734008.174088934
Construction,124,485,47229,96652,0,0,0,12,3,0,0,0,0,0,0,0,1053363.7017486296
IT,108,819,31723,33279,10,12,14,0,0,0,0,0,0,0,0,0,3256174.456770737
Construction,128,592,49965,14648,0,0,0,15,14,0,0,0,0,0,0,0,2250944.867788429
Construction,79,444,31616,77649,0,0,0,3,5,0,0,0,0,0,0,0,391048.9991442735
Research,177,759,37419,22588,0,0,0,0,0,0,0,0,0,0,15,11,3552172.9007276907
Construction,102,660,47240,16276,0,0,0,8,11,0,0,0,0,0,0,0,1347573.7429268113
Marketing,10,612,21959,81635,0,0,0,0,0,0,0,0,11,5,0,0,204033.07847794777
IT,129,855,19135,93310,15,6,12,0,0,0,0,0,0,0,0,0,3741410.6037764424
Event,157,633,21001,76504,0,0,0,0,0,5,1,3,0,0,0,0,995597.2003860779
Research,170,990,38997,35611,0,0,0,0,0,0,0,0,0,0,10,18,4786604.417099457
Event,52,425,28857,71212,0,0,0,0,0,7,15,11,0,0,0,0,839810.8735239037
Marketing,160,683,43525,42556,0,0,0,0,0,0,0,0,16,18,0,0,3800903.051859224
Construction,133,674,15225,33196,0,0,0,6,5,0,0,0,0,0,0,0,1033968.7791843197
Construction,154,837,41487,75838,0,0,0,8,17,0,0,0,0,0,0,0,3339641.0282668215
Marketing,81,644,35659,41890,0,0,0,0,0,0,0,0,16,14,0,0,1650636.1576615055
Construction,72,884,12848,97128,0,0,0,16,13,0,0,0,0,0,0,0,1950036.2730349065
IT,86,458,5488,49882,4,2,6,0,0,0,0,0,0,0,0,0,533973.3524446232
Construction,91,696,38768,35426,0,0,0,13,11,0,0,0,0,0,0,0,1588119.960924315
IT,97,754,31200,61924,15,1,12,0,0,0,0,0,0,0,0,0,2146845.9026344125
Event,69,904,43360,93360,0,0,0,0,0,17,17,3,0,0,0,0,2454773.785961151
Marketing,111,566,44778,86743,0,0,0,0,0,0,0,0,14,14,0,0,1887208.2482741114
Event,94,627,40631,41348,0,0,0,0,0,12,5,2,0,0,0,0,1213063.1790267215
Research,53,342,30519,36966,0,0,0,0,0,0,0,0,0,0,6,14,428741.5715599952
Event,60,623,18076,47650,0,0,0,0,0,2,14,4,0,0,0,0,815286.4226485044
Research,61,793,41378,52652,0,0,0,0,0,0,0,0,0,0,15,3,960599.3595956704
Construction,11,888,28171,96365,0,0,0,11,7,0,0,0,0,0,0,0,301177.3873958373
Marketing,83,338,12052,73646,0,0,0,0,0,0,0,0,7,17,0,0,751029.0313323416
Marketing,93,751,17149,69189,0,0,0,0,0,0,0,0,1,12,0,0,996499.373689802
Research,115,858,16130,98204,0,0,0,0,0,0,0,0,0,0,9,9,1885097.0393476503
IT,134,981,11295,44084,4,18,19,0,0,0,0,0,0,0,0,0,5447380.768580629
Marketing,69,466,41041,98920,0,0,0,0,0,0,0,0,18,19,0,0,1325482.2647337012
Construction,78,986,31160,27633,0,0,0,1,17,0,0,0,0,0,0,0,1453862.745638867
Research,152,718,38755,50390,0,0,0,0,0,0,0,0,0,0,11,10,2384672.221448515
IT,162,619,9358,75108,18,3,10,0,0,0,0,0,0,0,0,0,3186323.1777668763
Research,176,758,49311,39371,0,0,0,0,0,0,0,0,0,0,14,19,4482900.588330328
Research,45,652,12843,24210,0,0,0,0,0,0,0,0,0,0,9,8,541061.6756627017
IT,132,369,7472,82240,2,5,12,0,0,0,0,0,0,0,0,0,1016332.9295589537
Construction,76,680,45194,84069,0,0,0,6,2,0,0,0,0,0,0,0,534923.5217689818
Marketing,11,913,14686,63363,0,0,0,0,0,0,0,0,8,12,0,0,285465.051151962
Construction,167,932,8083,39328,0,0,0,16,12,0,0,0,0,0,0,0,4408915.031594727
Marketing,12,955,20901,82982,0,0,0,0,0,0,0,0,19,8,0,0,409536.5088783072
Research,93,705,31342,14895,0,0,0,0,0,0,0,0,0,0,1,16,1164788.578059273
Marketing,47,799,24169,26163,0,0,0,0,0,0,0,0,1,18,0,0,758055.2516483198
Construction,84,479,47685,28073,0,0,0,4,18,0,0,0,0,0,0,0,953260.7633703556
Event,159,442,9437,80971,0,0,0,0,0,5,10,12,0,0,0,0,1985721.0639687136
Construction,167,761,13325,62290,0,0,0,16,7,0,0,0,0,0,0,0,3004447.5137361838
Marketing,23,372,17686,34226,0,0,0,0,0,0,0,0,2,2,0,0,89697.35744752939
Construction,34,552,34984,83822,0,0,0,14,1,0,0,0,0,0,0,0,400927.1281671711
Research,140,782,28429,60200,0,0,0,0,0,0,0,0,0,0,13,2,1733367.7883515575
Marketing,150,842,38613,38179,0,0,0,0,0,0,0,0,18,6,0,0,3108261.942092229
Research,52,553,42947,82146,0,0,0,0,0,0,0,0,0,0,19,5,814169.785645349
Construction,135,989,31526,35032,0,0,0,19,9,0,0,0,0,0,0,0,3812431.6306842496
Event,158,628,33861,38141,0,0,0,0,0,19,7,16,0,0,0,0,4244096.29044782
Marketing,112,851,28312,53108,0,0,0,0,0,0,0,0,7,4,0,0,1137458.6508066608
Marketing,175,530,20422,52468,0,0,0,0,0,0,0,0,3,7,0,0,990670.0628525743
Research,95,944,9481,73037,0,0,0,0,0,0,0,0,0,0,6,15,1979296.5707020976
Research,147,770,45761,15542,0,0,0,0,0,0,0,0,0,0,5,1,745119.1908069982
Research,91,472,5671,10163,0,0,0,0,0,0,0,0,0,0,17,3,872405.1471112575
IT,148,607,34300,99881,4,2,16,0,0,0,0,0,0,0,0,0,2109708.269700383
IT,166,721,48404,63352,17,9,9,0,0,0,0,0,0,0,0,0,4309324.542400712
IT,139,871,8631,16172,1,10,18,0,0,0,0,0,0,0,0,0,3546590.5410663276
Construction,17,499,28472,59230,0,0,0,17,13,0,0,0,0,0,0,0,339163.4253849833
Event,78,715,44851,73936,0,0,0,0,0,5,8,13,0,0,0,0,1574272.342933066
Event,161,316,23052,26531,0,0,0,0,0,8,14,4,0,0,0,0,1375235.848135962
Event,152,510,43278,74027,0,0,0,0,0,19,11,5,0,0,0,0,2836780.9924222664
Construction,47,922,18279,49279,0,0,0,17,8,0,0,0,0,0,0,0,1151850.0800414872
IT,82,762,30538,87360,4,4,14,0,0,0,0,0,0,0,0,0,1497356.9967729757
Construction,158,975,30227,15978,0,0,0,8,2,0,0,0,0,0,0,0,1586440.7002285435
Research,169,650,8983,19503,0,0,0,0,0,0,0,0,0,0,2,11,1452390.812708234
Event,87,423,44896,87425,0,0,0,0,0,12,19,14,0,0,0,0,1789374.5027995827
IT,129,421,15736,47643,9,15,18,0,0,0,0,0,0,0,0,0,2338150.405007861
Marketing,95,961,25714,68712,0,0,0,0,0,0,0,0,13,18,0,0,2927598.698890402
Construction,38,512,29858,58689,0,0,0,15,19,0,0,0,0,0,0,0,747930.0048898595
Event,174,652,13706,18894,0,0,0,0,0,19,7,12,0,0,0,0,4338923.255427817
IT,137,528,34806,98199,10,16,8,0,0,0,0,0,0,0,0,0,2596571.2725784755
IT,141,403,26727,78056,10,14,7,0,0,0,0,0,0,0,0,0,1861662.434487539
Event,164,365,36656,77695,0,0,0,0,0,13,9,4,0,0,0,0,1663461.7171725954
Event,79,510,22081,19596,0,0,0,0,0,4,10,3,0,0,0,0,721075.4590938583
Construction,46,768,18109,12023,0,0,0,7,10,0,0,0,0,0,0,0,623079.7184271496
IT,29,572,32766,78099,14,3,5,0,0,0,0,0,0,0,0,0,482113.92051713594
Construction,64,799,32523,46727,0,0,0,2,18,0,0,0,0,0,0,0,1100438.2326961434
Event,58,618,10997,65506,0,0,0,0,0,13,12,6,0,0,0,0,1187994.969228416
Research,168,318,21044,15469,0,0,0,0,0,0,0,0,0,0,17,1,997731.5965707866
Event,56,417,15028,87984,0,0,0,0,0,17,6,4,0,0,0,0,732907.2624580836
Marketing,56,698,39501,40254,0,0,0,0,0,0,0,0,14,11,0,0,1058473.9015474524
Construction,59,918,33272,16397,0,0,0,13,6,0,0,0,0,0,0,0,1071863.5422968096
IT,118,862,28284,71330,10,3,14,0,0,0,0,0,0,0,0,0,2843028.9382206593
Research,58,373,30279,36201,0,0,0,0,0,0,0,0,0,0,4,7,297949.49121742934
Construction,172,940,7839,78920,0,0,0,4,6,0,0,0,0,0,0,0,1702187.8582147274
Marketing,161,847,28252,90797,0,0,0,0,0,0,0,0,12,10,0,0,3114126.4362117494
Marketing,144,462,39742,29675,0,0,0,0,0,0,0,0,14,10,0,0,1670656.9231311663
Construction,79,855,46800,15347,0,0,0,11,18,0,0,0,0,0,0,0,2016936.1052465984
Construction,116,740,20892,57299,0,0,0,18,1,0,0,0,0,0,0,0,1708307.0160664893
Construction,169,502,6171,87454,0,0,0,16,7,0,0,0,0,0,0,0,2045453.7804803401
Research,179,965,7539,32669,0,0,0,0,0,0,0,0,0,0,5,18,4015343.000473336
Research,58,670,27360,72292,0,0,0,0,0,0,0,0,0,0,12,9,912195.6423871827
IT,126,789,20352,43365,1,17,2,0,0,0,0,0,0,0,0,0,2057057.3393235193
IT,26,909,17485,79184,10,5,2,0,0,0,0,0,0,0,0,0,487026.2607125883
IT,75,397,16407,88258,7,12,15,0,0,0,0,0,0,0,0,0,1124001.1321127939
Construction,108,542,39622,20800,0,0,0,7,4,0,0,0,0,0,0,0,704603.0656818553
Marketing,152,675,15983,28133,0,0,0,0,0,0,0,0,14,9,0,0,2411828.969827408
IT,75,553,25354,52951,12,1,10,0,0,0,0,0,0,0,0,0,1034129.3392535454
Marketing,15,978,31390,98664,0,0,0,0,0,0,0,0,18,11,0,0,556050.3520526888
Marketing,50,463,12239,16710,0,0,0,0,0,0,0,0,9,15,0,0,577357.6101084132
Construction,51,767,24909,87067,0,0,0,2,7,0,0,0,0,0,0,0,456200.6406348589
Event,123,339,11629,95120,0,0,0,0,0,8,5,16,0,0,0,0,1322450.7749262983
Event,110,559,44901,21205,0,0,0,0,0,14,19,9,0,0,0,0,2648807.097283364
IT,72,408,47870,62756,13,2,4,0,0,0,0,0,0,0,0,0,675831.1027770771
Marketing,111,805,31170,18438,0,0,0,0,0,0,0,0,5,3,0,0,773412.6129566544
